experiment_id,time_seconds,temperature_c,hot_mass_g,cold_mass_g,hot_initial_c,cold_initial_c,calorimeter_heat_capacity_j_k,material,true_specific_heat_j_kg_k,true_hot_mass_g,true_cold_mass_g,true_temperature_c,true_equilibrium_c,device_profile,environment_profile,generation_group,secondary_errors,severity,class_name
HB_00001,0.0,25.700000000000003,100.0,134.0,86.60000000000001,25.5,101.83882758807118,steel,465.42208644513056,99.75797053660516,133.4118164898882,25.5278,29.469477185329385,low_cost_sensor,warm_classroom,group_00,high_calorimeter_heat_capacity;sensor_lag;small_transfer_loss,0.07843389007344409,normal
HB_00001,3.87,26.1,100.0,134.0,86.60000000000001,25.5,101.83882758807118,steel,465.42208644513056,99.75797053660516,133.4118164898882,26.3498,29.469477185329385,low_cost_sensor,warm_classroom,group_00,high_calorimeter_heat_capacity;sensor_lag;small_transfer_loss,0.07843389007344409,normal
HB_00001,7.75,26.3,100.0,134.0,86.60000000000001,25.5,101.83882758807118,steel,465.42208644513056,99.75797053660516,133.4118164898882,26.9987,29.469477185329385,low_cost_sensor,warm_classroom,group_00,high_calorimeter_heat_capacity;sensor_lag;small_transfer_loss,0.07843389007344409,normal
HB_00001,11.62,27.1,100.0,134.0,86.60000000000001,25.5,101.83882758807118,steel,465.42208644513056,99.75797053660516,133.4118164898882,27.5109,29.469477185329385,low_cost_sensor,warm_classroom,group_00,high_calorimeter_heat_capacity;sensor_lag;small_transfer_loss,0.07843389007344409,normal
HB_00001,15.5,27.3,100.0,134.0,86.60000000000001,25.5,101.83882758807118,steel,465.42208644513056,99.75797053660516,133.4118164898882,27.9149,29.469477185329385,low_cost_sensor,warm_classroom,group_00,high_calorimeter_heat_capacity;sensor_lag;small_transfer_loss,0.07843389007344409,normal
HB_00001,19.37,27.5,100.0,134.0,86.60000000000001,25.5,101.83882758807118,steel,465.42208644513056,99.75797053660516,133.4118164898882,28.2335,29.469477185329385,low_cost_sensor,warm_classroom,group_00,high_calorimeter_heat_capacity;sensor_lag;small_transfer_loss,0.07843389007344409,normal
HB_00001,23.25,28.0,100.0,134.0,86.60000000000001,25.5,101.83882758807118,steel,465.42208644513056,99.75797053660516,133.4118164898882,28.4845,29.469477185329385,low_cost_sensor,warm_classroom,group_00,high_calorimeter_heat_capacity;sensor_lag;small_transfer_loss,0.07843389007344409,normal
HB_00001,27.12,28.400000000000002,100.0,134.0,86.60000000000001,25.5,101.83882758807118,steel,465.42208644513056,99.75797053660516,133.4118164898882,28.682,29.469477185329385,low_cost_sensor,warm_classroom,group_00,high_calorimeter_heat_capacity;sensor_lag;small_transfer_loss,0.07843389007344409,normal
HB_00001,31.0,28.700000000000003,100.0,134.0,86.60000000000001,25.5,101.83882758807118,steel,465.42208644513056,99.75797053660516,133.4118164898882,28.8374,29.469477185329385,low_cost_sensor,warm_classroom,group_00,high_calorimeter_heat_capacity;sensor_lag;small_transfer_loss,0.07843389007344409,normal
HB_00001,34.87,29.0,100.0,134.0,86.60000000000001,25.5,101.83882758807118,steel,465.42208644513056,99.75797053660516,133.4118164898882,28.9594,29.469477185329385,low_cost_sensor,warm_classroom,group_00,high_calorimeter_heat_capacity;sensor_lag;small_transfer_loss,0.07843389007344409,normal
