time_seconds,measured_temperature
0,83.91179985201882
5,81.78176970964188
10,78.90959317270617
15,76.44472047941782
20,72.32950608995998
25,71.52524220568354
30,69.3989919337703
35,66.37533215821752
40,65.23391616374555
45,62.37534883404596
50,59.662921200090835
55,58.87201463597028
60,55.73422964736908
65,55.95618459836006
70,53.357108855745246
75,51.37896996900397
80,49.79104066129212
85,49.7805888344611
90,47.69532437653783
95,45.969201963838714
100,44.81531935863673
105,44.35182462369613
110,43.603285411921874
115,42.2785402523868
120,41.253383776811845
125,41.87678158642622
130,38.93917315603862
135,37.96546159182627
140,36.91113474129222
145,37.43642824709314
150,37.602113440112504
155,35.16812936150428
160,33.840171061014416
165,33.15846863421556
170,34.24480220453808
175,33.89460255417139
180,32.87101933667322
185,31.100818653461015
190,31.424296103245087
195,31.230252514260116
200,30.90748277614388
205,31.025299366646657
210,29.748311627918515
215,30.003611399769568
220,29.070198102240507
225,28.95334731372319
230,29.098647980556688
235,26.761200380315703
240,27.59911668756257
245,27.032794144298155
250,26.67236466301172
255,26.830941046038568
260,27.651689129466373
265,25.59690204796855
270,26.982166710156662
275,24.36295176473803
280,25.462801774622104
285,26.163457647039603
290,25.7741918141577
295,26.175433760265488
300,25.42526099099655
305,24.588068918900397
310,24.465363517314493
315,25.613422173517442
320,24.574765501723203
325,23.500422088859622
330,23.223098522803394
335,23.272572953580937
340,24.761559853406677
345,24.0795028775484
350,24.200929937427166
355,23.144290856537033
360,23.63329404318093
365,24.32112005841673
370,23.31657793318376
375,24.062677397945354
380,22.71066628287328
385,23.055623792724973
390,23.090296641933868
395,22.066416854127603
400,23.703518820742726
405,22.5123991773667
410,22.964487046617812
415,23.327596537512584
420,23.04503949102444
425,23.615362148528572
430,22.64940514337391
435,22.437748960223193
440,22.822376860213158
445,21.3386062839863
450,21.572237866466047
455,21.45838447362828
460,21.635725550406814
465,22.939920426703043
470,21.341509988627656
475,21.84513429004947
480,23.349539674614594
485,21.925312905909223
490,23.228548005186845
495,21.385065217638015
500,22.146252411781944
505,21.87910688006595
510,21.99187334420717
515,23.30112589166789
520,20.569608343543155
525,22.667686051127045
530,22.28954269279965
535,21.68309981235526
540,21.201589456619775
545,21.90333366163134
550,21.892612125193182
555,22.51239750450776
560,22.103967618744033
565,23.292363494166104
570,22.014801820573343
575,21.15295373939188
580,22.409209213603464
585,22.38361273475837
590,23.788384487722976
595,22.85106660485453
600,22.219393031182676
