experiment_id,mean_temperature,std_temperature,max_temperature,min_temperature,temperature_range,max_abs_jump,mean_abs_jump,mean_residual,mean_abs_residual,max_abs_residual,std_residual,residual_slope,average_cooling_rate,class_name
0,31.806128016701077,12.046018860227433,74.54167721841115,22.997775002746575,51.54390221566457,3.072057565338497,0.5622553632853439,-0.006024739733274804,0.18062445403317684,0.8454042760718004,0.23502152550597133,9.994396515466048e-06,-0.08590650369277429,normal
1,39.824915213954185,16.126567965794173,90.0888606713346,26.51499500609583,63.57386566523877,2.9218379573673303,0.6820315799981311,0.012238255354332971,0.2489198671441585,0.8702004350731407,0.30985900132615574,0.00019301327352002807,-0.10534362227105142,normal
2,32.4612621370426,10.836390496800455,77.07855842030322,26.17679701227285,50.901761408030374,3.936202932243411,0.6590214262709152,0.027015475954117477,0.2622064715583479,0.8586427627654203,0.3139744903109098,7.232093775972386e-05,-0.08428892735593688,normal
3,34.73211326717961,13.711001098710254,82.74213694818837,25.35576570686715,57.38637124132123,2.898762430318982,0.5930436386221214,0.018971345803707653,0.16868536248131086,0.7457847457188898,0.20647391921607364,1.3128727737511276e-05,-0.09528133871669477,normal
4,28.60206629765004,13.34463647565242,76.83376055726735,19.770010493732197,57.06375006353515,3.434333145507239,0.6236733290903892,-0.01827744468777819,0.2022413040189575,0.8999239657419942,0.2570039882216319,1.4811284666511986e-05,-0.09460810410182492,normal
5,30.468413627698695,11.765026828095145,70.29746869365609,21.99441246418061,48.30305622947547,2.4300338585375556,0.5010805230453272,-0.007458348331827536,0.1519002961107889,0.43743247857571177,0.1829515312365858,-1.1963595684546424e-05,-0.08031486175941645,normal
6,33.665833355525606,15.558994284128216,84.95012172745372,22.063809368627247,62.88631235882647,2.9000454289966626,0.5981082795793464,-0.02489661492194622,0.14140075290559975,0.4614246625149008,0.17309085594793938,-1.678906626422163e-05,-0.10420905914447016,normal
7,35.328352011630464,16.30953908658015,89.76814149592256,23.18835586536117,66.57978563056139,3.30438886762596,0.7833443015531384,0.004167613432637513,0.31898606649442984,1.0735336350339537,0.38382947991394767,-0.00013430009355872352,-0.10955314995482378,normal
8,29.007551624930805,13.392990034803466,84.09513711263419,21.427801627677095,62.66733548495709,4.486754812296283,0.6593942331414161,0.002512546239821102,0.17678123863657663,0.4924847675493105,0.21635081258059471,-5.7724734756538244e-05,-0.10356058882435533,normal
9,27.86103516098372,12.92052102227865,77.69121007879612,20.056010158276433,57.63519992051968,3.8569262178469472,0.6020745731231353,-0.03527235075000091,0.1650442070097087,0.5460784290805556,0.20126477655691868,-8.169959010676366e-05,-0.09560717873482756,normal
10,35.6731124702183,14.985826976401315,82.7565716529621,22.991724092300917,59.76484756066118,2.569284319832093,0.679028503379006,-0.07022102310802375,0.27872139364234155,0.9137877661185136,0.336684094722979,-3.737352594495031e-05,-0.09918550060080845,normal
11,31.970032817578257,15.42833371170861,85.73203887749911,21.08376091347821,64.6482779640209,3.460493759713742,0.6910828737342932,-0.024133646828004635,0.21492441315816863,0.7440297666124778,0.27409600462113426,5.817742193561853e-05,-0.1069007059621852,normal
12,32.40903932656672,13.32712298074719,81.66727486693698,23.747801150598328,57.91947371633865,3.6215899175486896,0.6310204479499077,-0.00294360675867076,0.1992082901026823,0.7073416533440735,0.2517125540986677,0.00015089482505300028,-0.09571340758095147,normal
13,34.91267532899616,16.479125830377257,89.99363471082131,22.436281539591356,67.55735317122995,3.472382851330323,0.7072074372135315,0.019784232342299823,0.21285439330126116,0.5965057747248395,0.25451329440239207,0.0001595809382565735,-0.11143292518591669,normal
14,31.14244596020803,9.763412796003227,72.47480425660777,25.83011826670401,46.64468598990376,3.6020296182545906,0.47743085798505003,0.004131584310465148,0.10194480391101855,0.4308580922562619,0.13129699919165358,2.3587946329616323e-05,-0.07715309676355298,normal
15,30.631070903994704,15.643268705112531,88.16790054810618,20.4973403855368,67.67056016256937,3.8611823850013423,0.7233101725684269,-0.019140545342478138,0.19397686893607854,0.6721165134420737,0.24567030779973004,-6.008406566449551e-05,-0.11179536830211909,normal
16,33.846567232271184,13.473103154507424,89.09742578653871,26.215059318433617,62.88236646810509,4.4739836920924745,0.7672921382943425,-0.007343931228401542,0.24789516863466945,0.7490754792698553,0.2987481686422812,0.0002694056114162474,-0.10334319466676982,normal
17,32.36316576067952,18.63555134788457,93.84565539094623,18.57569506547767,75.26996032546856,3.7399157320565166,0.709449712772543,0.003857204235262369,0.1631600326738272,0.5595221759824902,0.20424852603164165,0.0001408708183270874,-0.12502744405005353,normal
18,37.79411805328874,16.58270464715132,86.84746437618156,23.29439533422807,63.55306904195349,2.3004119422149216,0.5498112900119627,0.011545429363442538,0.09343859895254146,0.314877586491491,0.11999781571317783,7.296176797822672e-07,-0.10592178173658916,normal
19,31.955676750230783,13.657444634068638,82.1313007628927,22.91082759402311,59.220473168869596,3.5188406603321454,0.7130130891606691,-0.05497532584510811,0.2735242237483219,0.8615136826634,0.3297267704200659,0.00011859763565281371,-0.09811216703105799,normal
20,27.84699728928289,15.61311778800442,93.26787608126624,19.04439218518376,74.22348389608248,6.222062498137589,0.871175722668413,-0.006066837037017166,0.264949727440751,0.9058728681720858,0.3252919863237,6.72823728208172e-05,-0.12275140508560507,normal
21,30.118040024513917,13.628085433908309,86.6045850521406,22.415110726725853,64.18947432541475,4.6719175102911805,0.6345076052242533,0.012337921537455478,0.1433940749489396,0.5083130634122668,0.18147804432742906,7.774984066423196e-05,-0.10573316137796633,normal
22,38.88687854215448,15.252948925880009,84.86257636816147,25.588360168599788,59.27421619956168,2.357315933191302,0.6578769469499736,0.05133840050247711,0.24265618188624788,0.8990798470958623,0.28885663133749007,1.5977127678413418e-05,-0.0987903603326028,normal
23,28.527772873337447,16.16960114259619,89.17572380659588,17.838806207200207,71.33691759939568,4.562792953107561,0.8027145883599549,-0.030956364744298203,0.2791341511849568,1.1267310318899249,0.34808983840893315,0.00020596363922189344,-0.11786323859712126,normal
24,29.70915555195213,14.728933318264044,85.58076713971637,20.706833912572435,64.87393322714394,3.839787451942726,0.6515820840448903,0.01965216172157704,0.16695485951282046,0.5052730137338699,0.20443601666341518,3.127997692847186e-05,-0.1080592412878565,normal
25,34.191417881993125,13.67918548796441,73.11463542725825,21.557550105098592,51.55708532215966,1.8270199387994523,0.464543651846375,-0.007403652118703475,0.0982983480202803,0.3548934429363797,0.1292648631586831,-6.067974868516618e-05,-0.08558922248390807,normal
26,29.786481687413882,14.93519139771292,83.86753081588544,19.856139475879147,64.0113913400063,4.152270892390703,0.7208610404475916,0.00026536253575785306,0.2714234001626496,0.7545140275993525,0.3258416145434951,0.00040143169903128766,-0.1064915415097572,normal
27,31.56265992440182,14.280164971581675,78.66500983245355,20.9069508330011,57.758058999452444,2.4148495716266893,0.5405660064770407,0.0015333873727210602,0.10926776297790065,0.4186971193752953,0.1352971304398528,3.6577941695590686e-05,-0.09606966614916675,normal
28,35.03468115024021,14.501394303922941,86.52824716799628,25.023086911577177,61.5051602564191,3.347470143195366,0.6562290955216544,-0.01056300267046733,0.23837112483933803,0.5825321267496797,0.2823948436230524,0.00015923932440133981,-0.10250860042736518,normal
29,31.937305459221623,13.562925084071429,87.86565317053832,24.278960279777127,63.5866928907612,5.156569468217938,0.6652487217856066,0.004983212266364014,0.1541580347394874,0.5872393292646123,0.19185165677683316,-0.0001485903441830901,-0.10499178964645085,normal
30,31.762222068390155,13.454255826535855,86.30357465276862,24.222207749521296,62.08136690324732,4.4632459282592265,0.6657771804307547,-0.033997952149272634,0.17260378913153337,0.8062320664514537,0.21602227557073064,5.588208542798012e-05,-0.10343390986188879,normal
31,36.652809208465314,16.30210182655477,85.3562515159394,22.454332806546727,62.901918709392675,2.690922056270921,0.6053209435564046,-0.01773016740012696,0.1698809979170734,0.5601744498164294,0.21217307885534956,-2.3964164034489127e-05,-0.10482685308748821,normal
