experiment_id,time_seconds,temperature_c,pressure_kpa,volume_ml,bath_temperature_c,atmospheric_pressure_kpa,true_temperature_c,true_pressure_absolute_kpa,true_volume_ml,device_profile,environment_profile,generation_group,secondary_errors,severity,class_name
IS_00001,0.0,22.700000000000003,101.60000000000001,201.5,22.6,101.03349400216767,22.5858,101.2334,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,8.13,22.900000000000002,101.4,202.0,25.6,101.03349400216767,22.9514,101.3585,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,16.25,23.400000000000002,102.2,202.5,28.400000000000002,101.03349400216767,23.6154,101.5858,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,24.38,24.200000000000003,102.5,201.5,31.1,101.03349400216767,24.5202,101.8956,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,32.5,25.1,103.0,201.5,33.6,101.03349400216767,25.6166,102.2709,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,40.63,26.6,102.60000000000001,202.0,35.9,101.03349400216767,26.8624,102.6973,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,48.76,27.5,103.5,201.5,38.1,101.03349400216767,28.2219,103.1627,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,56.88,28.900000000000002,103.5,201.5,40.1,101.03349400216767,29.6648,103.6566,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,65.01,30.3,104.5,202.0,42.1,101.03349400216767,31.1654,104.1703,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,73.13,31.900000000000002,105.0,202.0,43.900000000000006,101.03349400216767,32.7022,104.6964,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,81.26,33.300000000000004,105.80000000000001,202.0,45.6,101.03349400216767,34.2571,105.2286,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,89.39,34.7,106.5,201.5,47.1,101.03349400216767,35.8151,105.7619,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,97.51,36.4,106.60000000000001,202.0,48.6,101.03349400216767,37.3639,106.2921,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,105.64,38.0,107.5,201.5,50.0,101.03349400216767,38.8934,106.8157,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,113.76,39.2,108.2,201.5,51.300000000000004,101.03349400216767,40.3953,107.3298,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,121.89,41.2,108.4,202.0,52.5,101.03349400216767,41.863,107.8322,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,130.02,42.400000000000006,109.10000000000001,202.0,53.7,101.03349400216767,43.2916,108.3212,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,138.14,43.800000000000004,109.2,202.0,54.7,101.03349400216767,44.677,108.7954,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,146.27,45.2,109.60000000000001,201.5,55.7,101.03349400216767,46.0163,109.2539,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,154.4,46.400000000000006,110.30000000000001,202.0,56.7,101.03349400216767,47.3075,109.6959,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,162.52,47.7,110.5,202.5,57.6,101.03349400216767,48.5492,110.1209,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,170.65,48.800000000000004,111.30000000000001,202.0,58.400000000000006,101.03349400216767,49.7408,110.5288,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,178.77,50.2,111.5,201.0,59.2,101.03349400216767,50.882,110.9195,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,186.9,51.2,111.10000000000001,202.5,59.900000000000006,101.03349400216767,51.9731,111.293,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,195.03,52.400000000000006,112.4,201.5,60.6,101.03349400216767,53.0145,111.6495,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,203.15,53.400000000000006,112.7,202.0,61.2,101.03349400216767,54.0072,111.9893,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,211.28,54.5,112.60000000000001,201.5,61.800000000000004,101.03349400216767,54.9522,112.3128,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,219.4,55.300000000000004,113.2,201.5,62.400000000000006,101.03349400216767,55.8507,112.6203,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,227.53,56.300000000000004,113.7,201.5,62.900000000000006,101.03349400216767,56.7041,112.9125,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,235.66,57.1,113.5,201.5,63.400000000000006,101.03349400216767,57.5139,113.1897,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,243.78,57.800000000000004,113.7,202.0,63.900000000000006,101.03349400216767,58.2816,113.4524,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,251.91,58.6,114.4,201.5,64.3,101.03349400216767,59.0087,113.7014,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,260.03,59.300000000000004,114.4,202.0,64.7,101.03349400216767,59.697,113.937,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,268.16,60.0,114.60000000000001,202.0,65.10000000000001,101.03349400216767,60.348,114.1598,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
IS_00001,276.29,60.7,115.10000000000001,201.5,65.4,101.03349400216767,60.9634,114.3705,201.514,school_basic,stable_room,isochoric_family_0000,none,0.11556646294859897,normal
