experiment_id,time_seconds,temperature_c,pressure_kpa,volume_ml,bath_temperature_c,atmospheric_pressure_kpa,true_temperature_c,true_pressure_absolute_kpa,true_volume_ml,device_profile,environment_profile,generation_group,secondary_errors,severity,class_name
IS_00321,0.0,25.5,101.7,254.5,25.200000000000003,101.35256695024025,25.1662,101.01,254.0642,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,17.8,27.400000000000002,102.2,254.0,32.1,101.35256695024025,27.4646,101.683,254.3272,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,35.6,30.5,103.60000000000001,255.0,38.300000000000004,101.35256695024025,31.0439,102.8509,254.4331,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,53.4,34.9,105.0,255.5,43.800000000000004,101.35256695024025,35.2519,103.9812,255.1486,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,71.2,39.2,105.60000000000001,256.0,48.6,101.35256695024025,39.6775,105.2345,255.7277,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,89.0,43.7,107.4,256.0,53.0,101.35256695024025,44.0683,106.8025,255.5099,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,106.8,47.800000000000004,108.2,256.5,56.800000000000004,101.35256695024025,48.2755,107.9593,256.1246,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,124.6,51.800000000000004,109.9,256.5,60.2,101.35256695024025,52.2175,109.0348,256.7084,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,142.4,55.5,110.5,257.5,63.2,101.35256695024025,55.8557,110.1049,257.056,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,160.2,58.900000000000006,111.0,258.0,65.9,101.35256695024025,59.1783,110.9372,257.7041,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,178.0,61.800000000000004,112.10000000000001,258.5,68.3,101.35256695024025,62.1901,111.6264,258.4341,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,195.8,64.60000000000001,112.4,259.0,70.4,101.35256695024025,64.9054,112.3633,258.818,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,213.6,67.2,113.7,259.0,72.3,101.35256695024025,67.3439,113.1626,258.8437,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,231.4,69.3,114.60000000000001,259.0,74.0,101.35256695024025,69.5272,113.7626,259.1295,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,249.2,71.4,114.60000000000001,260.0,75.4,101.35256695024025,71.478,114.1892,259.6312,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,267.0,73.10000000000001,114.80000000000001,260.5,76.7,101.35256695024025,73.2183,114.4443,260.3604,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,284.8,74.7,114.9,261.5,77.9,101.35256695024025,74.7688,114.5215,261.3498,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,302.6,76.2,116.10000000000001,261.5,78.9,101.35256695024025,76.1491,115.144,260.968,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,320.4,77.30000000000001,115.7,262.0,79.9,101.35256695024025,77.3769,115.3623,261.3899,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,338.2,78.4,115.60000000000001,263.5,80.7,101.35256695024025,78.4687,115.0827,262.841,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,356.0,79.4,116.10000000000001,263.0,81.4,101.35256695024025,79.4392,115.4273,262.7796,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,373.8,80.4,116.10000000000001,263.5,82.0,101.35256695024025,80.3015,115.6983,262.8053,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,391.6,81.10000000000001,116.5,263.5,82.60000000000001,101.35256695024025,81.0676,115.654,263.4758,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,409.4,81.9,115.4,264.0,83.10000000000001,101.35256695024025,81.7482,115.6948,263.8889,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,427.2,82.4,115.80000000000001,265.0,83.60000000000001,101.35256695024025,82.3526,115.5757,264.6106,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,445.0,82.80000000000001,115.80000000000001,266.0,84.0,101.35256695024025,82.8895,115.2376,265.7879,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,462.8,83.2,115.5,267.0,84.30000000000001,101.35256695024025,83.3663,115.2219,266.1799,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,480.6,84.0,115.9,267.0,84.60000000000001,101.35256695024025,83.7897,115.29,266.3388,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,498.41,84.30000000000001,115.9,267.0,84.9,101.35256695024025,84.1658,115.2631,266.6815,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,516.21,84.60000000000001,115.60000000000001,267.5,85.2,101.35256695024025,84.4998,115.16,267.1697,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
IS_00321,534.01,85.0,115.80000000000001,267.5,85.4,101.35256695024025,84.7964,115.2539,267.1736,school_basic,warm_classroom,group_00,none,0.9617764388737747,volume_instability
