experiment_id,measurement_number,time_seconds,volume_ml,pressure_kpa,temperature_c,atmospheric_pressure_kpa,pressure_gauge_kpa,true_volume_ml,true_pressure_absolute_kpa,true_temperature_c,dead_volume_ml,device_profile,environment_profile,generation_group,secondary_errors,severity,class_name
BM_00003,1,0.0,98.5,101.30000000000001,22.700000000000003,101.03349400216767,0.30000000000000004,101.0305,100.9341,22.5858,3.317857082015707,school_basic,stable_room,boyle_mariotte_family_0000,none,1.0,temperature_change
BM_00003,2,3.15,96.0,104.7,25.0,101.03349400216767,3.7,98.6204,104.1133,24.6239,3.317857082015707,school_basic,stable_room,boyle_mariotte_family_0000,none,1.0,temperature_change
BM_00003,3,5.51,94.5,107.7,27.3,101.03349400216767,6.7,96.2102,107.638,27.1813,3.317857082015707,school_basic,stable_room,boyle_mariotte_family_0000,none,1.0,temperature_change
BM_00003,4,11.38,91.0,110.2,27.3,101.03349400216767,9.200000000000001,93.8001,110.3554,27.0499,3.317857082015707,school_basic,stable_room,boyle_mariotte_family_0000,none,1.0,temperature_change
BM_00003,5,14.03,88.5,115.80000000000001,31.8,101.03349400216767,14.8,91.39,115.0291,31.7238,3.317857082015707,school_basic,stable_room,boyle_mariotte_family_0000,none,1.0,temperature_change
BM_00003,6,19.12,86.0,117.9,31.0,101.03349400216767,16.900000000000002,88.9798,117.8863,31.0567,3.317857082015707,school_basic,stable_room,boyle_mariotte_family_0000,none,1.0,temperature_change
BM_00003,7,22.78,84.0,122.9,35.1,101.03349400216767,21.900000000000002,86.5697,122.7376,34.9965,3.317857082015707,school_basic,stable_room,boyle_mariotte_family_0000,none,1.0,temperature_change
BM_00003,8,27.17,81.5,127.10000000000001,36.1,101.03349400216767,26.1,84.1596,126.6608,35.9931,3.317857082015707,school_basic,stable_room,boyle_mariotte_family_0000,none,1.0,temperature_change
BM_00003,9,33.03,78.5,130.5,35.7,101.03349400216767,29.5,81.7495,130.1963,35.5218,3.317857082015707,school_basic,stable_room,boyle_mariotte_family_0000,none,1.0,temperature_change
BM_00003,10,36.5,76.5,137.5,42.900000000000006,101.03349400216767,36.5,79.3393,137.2776,42.7152,3.317857082015707,school_basic,stable_room,boyle_mariotte_family_0000,none,1.0,temperature_change
