experiment_id,measurement_number,time_seconds,volume_ml,pressure_kpa,temperature_c,atmospheric_pressure_kpa,pressure_gauge_kpa,true_volume_ml,true_pressure_absolute_kpa,true_temperature_c,dead_volume_ml,device_profile,environment_profile,generation_group,secondary_errors,severity,class_name
BM_00002,1,0.0,99.0,101.80000000000001,22.700000000000003,101.03349400216767,0.8,101.2659,101.4569,22.5858,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,2,7.25,97.0,103.4,23.1,101.03349400216767,2.4000000000000004,99.2806,102.7916,22.7066,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,3,12.66,96.0,104.5,22.900000000000002,101.03349400216767,3.5,97.2953,104.3925,22.8782,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,4,26.17,93.0,105.0,23.1,101.03349400216767,4.0,95.3101,105.1276,22.7904,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,5,32.25,91.0,107.60000000000001,23.200000000000003,101.03349400216767,6.6000000000000005,93.3248,106.8537,23.1507,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,6,43.95,88.5,107.9,22.900000000000002,101.03349400216767,6.9,91.3395,107.872,23.0036,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,7,52.37,87.0,109.60000000000001,23.400000000000002,101.03349400216767,8.6,89.3542,109.4621,23.2833,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,8,62.47,85.0,111.30000000000001,23.400000000000002,101.03349400216767,10.3,87.3689,110.8447,23.2895,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,9,75.94,82.5,112.2,23.3,101.03349400216767,11.200000000000001,85.3836,111.8846,23.1766,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,10,83.93,81.0,114.10000000000001,24.0,101.03349400216767,13.100000000000001,83.3984,113.8633,23.7297,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,11,91.63,79.0,115.7,24.0,101.03349400216767,14.700000000000001,81.4131,115.8306,23.9135,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,12,98.25,76.0,118.10000000000001,24.400000000000002,101.03349400216767,17.1,79.4278,118.0809,24.2329,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,13,106.76,75.5,120.60000000000001,24.1,101.03349400216767,19.6,77.4425,120.0496,24.112,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,14,113.74,73.0,123.30000000000001,24.8,101.03349400216767,22.3,75.4572,122.5377,24.5334,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,15,121.04,71.0,125.10000000000001,24.8,101.03349400216767,24.1,73.4719,124.9996,24.6571,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,16,128.83,69.0,128.20000000000002,24.900000000000002,101.03349400216767,27.200000000000003,71.4866,127.5269,24.7433,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,17,142.18,66.5,129.9,24.0,101.03349400216767,28.900000000000002,69.5014,129.1164,23.9606,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,18,152.48,64.5,132.20000000000002,24.700000000000003,101.03349400216767,31.200000000000003,67.5161,131.8469,24.5818,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,19,160.98,62.5,135.3,25.400000000000002,101.03349400216767,34.300000000000004,65.5308,134.9661,25.1492,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,20,174.45,61.0,137.4,24.3,101.03349400216767,36.4,63.5455,136.959,24.3006,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,21,181.44,58.5,142.1,26.200000000000003,101.03349400216767,41.1,61.5602,141.2163,26.0174,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
BM_00002,22,190.06,57.0,145.0,25.900000000000002,101.03349400216767,44.0,59.5749,144.5549,25.7377,2.9420327882979747,school_basic,stable_room,boyle_mariotte_family_0000,small_temperature_drift,0.8559988952657567,air_leak
